Seconds,High,Low,Open,Close,Qty
0,696.0,696.0,696.0,696.0,2.0
1,700.0,700.0,700.0,700.0,1.0
2,700.0,699.0,699.0,700.0,227.0
3,,,,700.0,
4,,,,700.0,
5,700.0,699.0,700.0,700.0,149.0
6,,,,700.0,
7,,,,700.0,
8,700.0,700.0,700.0,700.0,3.0
9,,,,700.0,
10,,,,700.0,
11,,,,700.0,
12,,,,700.0,
13,,,,700.0,
14,700.0,700.0,700.0,700.0,34.0
15,,,,700.0,
16,,,,700.0,
17,,,,700.0,
18,,,,700.0,
19,701.0,700.0,700.0,701.0,68.0
20,700.0,700.0,700.0,700.0,14.0
21,701.0,701.0,701.0,701.0,34.0
22,,,,701.0,
23,,,,701.0,
24,,,,701.0,
25,700.0,700.0,700.0,700.0,38.0
26,700.0,700.0,700.0,700.0,22.0
27,,,,700.0,
28,,,,700.0,
29,700.0,700.0,700.0,700.0,49.0
30,701.0,700.0,701.0,700.0,366.0
31,701.0,701.0,701.0,701.0,20.0
32,700.0,700.0,700.0,700.0,23.0
33,701.0,700.0,700.0,701.0,21.0
34,,,,701.0,
35,700.0,700.0,700.0,700.0,1.0
36,,,,700.0,
37,701.0,701.0,701.0,701.0,2.0
38,701.0,701.0,701.0,701.0,5.0
39,701.0,700.0,701.0,701.0,41.0
40,,,,701.0,
41,701.0,701.0,701.0,701.0,46.0
42,,,,701.0,
43,,,,701.0,
44,701.0,701.0,701.0,701.0,1.0
45,,,,701.0,
46,701.0,701.0,701.0,701.0,70.0
47,701.0,700.0,701.0,700.0,508.0
48,700.0,700.0,700.0,700.0,4.0
49,,,,700.0,
50,701.0,700.0,701.0,700.0,18.0
51,,,,700.0,
52,700.0,700.0,700.0,700.0,22.0
53,700.0,700.0,700.0,700.0,21.0
54,700.0,700.0,700.0,700.0,13.0
55,701.0,700.0,701.0,700.0,40.0
56,,,,700.0,
57,,,,700.0,
58,701.0,701.0,701.0,701.0,5.0
59,700.0,700.0,700.0,700.0,5.0
60,,,,700.0,
61,701.0,701.0,701.0,701.0,18.0
62,,,,701.0,
63,700.0,700.0,700.0,700.0,1.0
64,700.0,700.0,700.0,700.0,274.0
65,700.0,700.0,700.0,700.0,27.0
66,,,,700.0,
67,,,,700.0,
68,,,,700.0,
69,701.0,701.0,701.0,701.0,23.0
70,701.0,700.0,700.0,701.0,29.0
71,,,,701.0,
72,701.0,701.0,701.0,701.0,8.0
73,,,,701.0,
74,701.0,700.0,701.0,700.0,131.0
