Seconds,High,Low,Open,Close,Qty
0,690.0,690.0,690.0,690.0,1.0
1,,,,690.0,
2,,,,690.0,
3,,,,690.0,
4,,,,690.0,
5,,,,690.0,
6,,,,690.0,
7,684.0,683.0,684.0,684.0,8.0
8,684.0,684.0,684.0,684.0,3.0
9,684.0,684.0,684.0,684.0,672.0
10,,,,684.0,
11,684.0,684.0,684.0,684.0,1.0
12,683.0,683.0,683.0,683.0,7.0
13,684.0,684.0,684.0,684.0,83.0
14,685.0,683.0,685.0,683.0,69.0
15,685.0,685.0,685.0,685.0,49.0
16,,,,685.0,
17,,,,685.0,
18,,,,685.0,
19,,,,685.0,
20,685.0,685.0,685.0,685.0,3.0
21,,,,685.0,
22,,,,685.0,
23,,,,685.0,
24,,,,685.0,
25,685.0,685.0,685.0,685.0,1.0
26,684.0,684.0,684.0,684.0,3.0
27,,,,684.0,
28,684.0,684.0,684.0,684.0,1.0
29,,,,684.0,
30,,,,684.0,
31,,,,684.0,
32,,,,684.0,
33,684.0,684.0,684.0,684.0,2.0
34,,,,684.0,
35,,,,684.0,
36,,,,684.0,
37,,,,684.0,
38,,,,684.0,
39,,,,684.0,
40,,,,684.0,
41,,,,684.0,
42,,,,684.0,
43,684.0,684.0,684.0,684.0,1.0
44,684.0,684.0,684.0,684.0,5.0
45,,,,684.0,
46,,,,684.0,
47,,,,684.0,
48,,,,684.0,
49,,,,684.0,
50,,,,684.0,
51,,,,684.0,
52,,,,684.0,
53,,,,684.0,
54,685.0,685.0,685.0,685.0,7.0
55,685.0,685.0,685.0,685.0,1.0
56,,,,685.0,
57,,,,685.0,
58,685.0,684.0,685.0,684.0,3.0
59,,,,684.0,
60,,,,684.0,
61,,,,684.0,
62,685.0,685.0,685.0,685.0,7.0
63,,,,685.0,
64,,,,685.0,
65,,,,685.0,
66,684.0,684.0,684.0,684.0,7.0
67,,,,684.0,
68,,,,684.0,
69,684.0,684.0,684.0,684.0,23.0
70,,,,684.0,
71,,,,684.0,
72,,,,684.0,
73,684.0,684.0,684.0,684.0,1.0
74,,,,684.0,
75,,,,684.0,
76,,,,684.0,
77,,,,684.0,
78,,,,684.0,
79,,,,684.0,
80,684.0,684.0,684.0,684.0,2.0
81,,,,684.0,
82,,,,684.0,
83,,,,684.0,
84,,,,684.0,
85,,,,684.0,
86,,,,684.0,
87,,,,684.0,
88,684.0,684.0,684.0,684.0,1.0
89,,,,684.0,
90,,,,684.0,
91,,,,684.0,
92,685.0,685.0,685.0,685.0,17.0
93,685.0,685.0,685.0,685.0,1.0
94,,,,685.0,
95,,,,685.0,
96,685.0,685.0,685.0,685.0,1.0
97,,,,685.0,
98,,,,685.0,
99,685.0,685.0,685.0,685.0,7.0
100,685.0,685.0,685.0,685.0,3.0
101,685.0,685.0,685.0,685.0,10.0
102,685.0,685.0,685.0,685.0,92.0
103,684.0,684.0,684.0,684.0,1.0
104,,,,684.0,
105,685.0,685.0,685.0,685.0,10.0
106,,,,685.0,
107,,,,685.0,
108,,,,685.0,
109,,,,685.0,
110,,,,685.0,
111,,,,685.0,
112,,,,685.0,
113,685.0,685.0,685.0,685.0,1.0
114,,,,685.0,
115,,,,685.0,
116,,,,685.0,
117,,,,685.0,
118,684.0,684.0,684.0,684.0,1.0
119,,,,684.0,
120,,,,684.0,
121,,,,684.0,
122,684.0,684.0,684.0,684.0,314.0
123,684.0,684.0,684.0,684.0,22.0
124,683.0,683.0,683.0,683.0,3.0
125,,,,683.0,
126,,,,683.0,
127,,,,683.0,
128,,,,683.0,
129,,,,683.0,
130,,,,683.0,
131,,,,683.0,
132,,,,683.0,
133,684.0,683.0,684.0,683.0,169.0
134,,,,683.0,
135,,,,683.0,
136,,,,683.0,
137,,,,683.0,
138,,,,683.0,
139,,,,683.0,
140,,,,683.0,
141,685.0,685.0,685.0,685.0,3.0
142,684.0,684.0,684.0,684.0,7.0
143,,,,684.0,
144,,,,684.0,
145,,,,684.0,
146,685.0,685.0,685.0,685.0,1.0
147,,,,685.0,
148,684.0,684.0,684.0,684.0,1.0
149,,,,684.0,
150,,,,684.0,
151,,,,684.0,
152,,,,684.0,
