Seconds,High,Low,Open,Close,Qty
0,4619.0,4619.0,4619.0,4619.0,1.0
1,4574.0,4573.0,4574.0,4573.0,2.0
2,,,,4573.0,
3,4573.0,4572.0,4572.0,4573.0,2.0
4,4574.0,4572.0,4574.0,4573.0,3.0
5,4574.0,4574.0,4574.0,4574.0,1.0
6,4575.0,4575.0,4575.0,4575.0,2.0
7,4579.0,4576.0,4577.0,4576.0,14.0
8,4577.0,4577.0,4577.0,4577.0,1.0
9,4579.0,4577.0,4578.0,4577.0,6.0
10,4577.0,4577.0,4577.0,4577.0,1.0
11,4577.0,4576.0,4576.0,4577.0,2.0
12,4576.0,4576.0,4576.0,4576.0,1.0
13,4577.0,4577.0,4577.0,4577.0,1.0
14,4586.0,4577.0,4586.0,4580.0,28.0
15,4584.0,4582.0,4582.0,4584.0,3.0
16,,,,4584.0,
17,,,,4584.0,
18,4584.0,4582.0,4582.0,4584.0,12.0
19,4581.0,4579.0,4579.0,4581.0,6.0
20,4583.0,4582.0,4583.0,4582.0,3.0
21,4582.0,4581.0,4581.0,4582.0,5.0
22,,,,4582.0,
23,,,,4582.0,
24,4581.0,4581.0,4581.0,4581.0,2.0
25,4582.0,4582.0,4582.0,4582.0,1.0
26,,,,4582.0,
27,4584.0,4584.0,4584.0,4584.0,1.0
28,,,,4584.0,
29,,,,4584.0,
30,4582.0,4582.0,4582.0,4582.0,7.0
31,,,,4582.0,
32,,,,4582.0,
33,4582.0,4582.0,4582.0,4582.0,1.0
34,,,,4582.0,
35,,,,4582.0,
36,,,,4582.0,
37,4580.0,4580.0,4580.0,4580.0,1.0
38,4581.0,4581.0,4581.0,4581.0,2.0
39,,,,4581.0,
40,4580.0,4580.0,4580.0,4580.0,1.0
41,4579.0,4579.0,4579.0,4579.0,7.0
42,4578.0,4578.0,4578.0,4578.0,1.0
43,,,,4578.0,
44,,,,4578.0,
45,,,,4578.0,
46,,,,4578.0,
47,,,,4578.0,
48,,,,4578.0,
49,,,,4578.0,
50,,,,4578.0,
51,,,,4578.0,
52,,,,4578.0,
53,4580.0,4579.0,4580.0,4579.0,2.0
54,4580.0,4580.0,4580.0,4580.0,2.0
55,4582.0,4581.0,4582.0,4581.0,2.0
56,,,,4581.0,
57,4581.0,4581.0,4581.0,4581.0,9.0
58,,,,4581.0,
59,,,,4581.0,
60,4581.0,4581.0,4581.0,4581.0,1.0
61,4581.0,4581.0,4581.0,4581.0,1.0
62,4582.0,4580.0,4580.0,4582.0,6.0
63,,,,4582.0,
64,,,,4582.0,
65,4580.0,4580.0,4580.0,4580.0,1.0
66,,,,4580.0,
67,,,,4580.0,
68,,,,4580.0,
69,4579.0,4579.0,4579.0,4579.0,1.0
70,4579.0,4577.0,4579.0,4578.0,11.0
71,4578.0,4578.0,4578.0,4578.0,1.0
72,,,,4578.0,
73,,,,4578.0,
74,4578.0,4578.0,4578.0,4578.0,1.0
75,4577.0,4577.0,4577.0,4577.0,1.0
76,,,,4577.0,
77,,,,4577.0,
78,4578.0,4578.0,4578.0,4578.0,1.0
79,,,,4578.0,
80,,,,4578.0,
81,,,,4578.0,
82,4579.0,4579.0,4579.0,4579.0,1.0
83,,,,4579.0,
84,,,,4579.0,
85,,,,4579.0,
86,4578.0,4578.0,4578.0,4578.0,1.0
87,,,,4578.0,
88,,,,4578.0,
89,4578.0,4578.0,4578.0,4578.0,1.0
90,,,,4578.0,
91,,,,4578.0,
92,4580.0,4579.0,4580.0,4579.0,3.0
93,,,,4579.0,
94,,,,4579.0,
95,,,,4579.0,
96,,,,4579.0,
97,4580.0,4580.0,4580.0,4580.0,1.0
98,,,,4580.0,
99,4582.0,4581.0,4581.0,4581.0,4.0
100,,,,4581.0,
101,,,,4581.0,
102,4582.0,4582.0,4582.0,4582.0,3.0
103,4581.0,4581.0,4581.0,4581.0,2.0
104,4582.0,4582.0,4582.0,4582.0,5.0
105,4582.0,4582.0,4582.0,4582.0,1.0
106,4583.0,4581.0,4581.0,4583.0,3.0
107,4582.0,4582.0,4582.0,4582.0,1.0
108,,,,4582.0,
109,,,,4582.0,
110,,,,4582.0,
111,,,,4582.0,
112,,,,4582.0,
113,4580.0,4580.0,4580.0,4580.0,1.0
