Seconds,High,Low,Open,Close,Qty
0,4526.0,4526.0,4526.0,4526.0,11.0
1,4547.0,4544.0,4547.0,4544.0,6.0
2,4546.0,4546.0,4546.0,4546.0,3.0
3,4548.0,4547.0,4548.0,4547.0,4.0
4,4550.0,4548.0,4550.0,4550.0,7.0
5,4549.0,4549.0,4549.0,4549.0,1.0
6,4548.0,4548.0,4548.0,4548.0,1.0
7,4548.0,4548.0,4548.0,4548.0,1.0
8,,,,4548.0,
9,,,,4548.0,
10,,,,4548.0,
11,4548.0,4548.0,4548.0,4548.0,1.0
12,4546.0,4544.0,4545.0,4546.0,3.0
13,4544.0,4544.0,4544.0,4544.0,1.0
14,4545.0,4543.0,4543.0,4545.0,2.0
15,,,,4545.0,
16,,,,4545.0,
17,,,,4545.0,
18,4543.0,4543.0,4543.0,4543.0,1.0
19,4545.0,4545.0,4545.0,4545.0,1.0
20,4544.0,4544.0,4544.0,4544.0,1.0
21,4544.0,4544.0,4544.0,4544.0,1.0
22,4549.0,4546.0,4549.0,4546.0,6.0
23,,,,4546.0,
24,,,,4546.0,
25,,,,4546.0,
26,4548.0,4548.0,4548.0,4548.0,1.0
27,4548.0,4548.0,4548.0,4548.0,2.0
28,,,,4548.0,
29,4551.0,4548.0,4548.0,4551.0,7.0
30,4549.0,4549.0,4549.0,4549.0,1.0
31,4549.0,4549.0,4549.0,4549.0,1.0
32,4551.0,4550.0,4551.0,4550.0,4.0
33,,,,4550.0,
34,,,,4550.0,
35,4550.0,4550.0,4550.0,4550.0,1.0
36,4550.0,4550.0,4550.0,4550.0,1.0
37,4552.0,4551.0,4552.0,4551.0,5.0
38,4553.0,4551.0,4553.0,4553.0,4.0
39,,,,4553.0,
40,4551.0,4551.0,4551.0,4551.0,4.0
41,4553.0,4553.0,4553.0,4553.0,1.0
42,,,,4553.0,
43,4550.0,4550.0,4550.0,4550.0,1.0
44,4554.0,4553.0,4554.0,4553.0,8.0
45,4554.0,4554.0,4554.0,4554.0,1.0
46,4554.0,4553.0,4553.0,4553.0,5.0
47,,,,4553.0,
48,4553.0,4553.0,4553.0,4553.0,3.0
49,,,,4553.0,
50,4552.0,4552.0,4552.0,4552.0,2.0
51,4552.0,4551.0,4551.0,4552.0,8.0
52,,,,4552.0,
53,4548.0,4548.0,4548.0,4548.0,3.0
54,4546.0,4546.0,4546.0,4546.0,1.0
55,4546.0,4546.0,4546.0,4546.0,2.0
56,4544.0,4544.0,4544.0,4544.0,1.0
57,4546.0,4544.0,4546.0,4544.0,9.0
58,4548.0,4546.0,4547.0,4548.0,7.0
59,4546.0,4545.0,4545.0,4546.0,2.0
60,4549.0,4546.0,4549.0,4546.0,6.0
61,4550.0,4548.0,4550.0,4548.0,6.0
62,4550.0,4548.0,4548.0,4550.0,8.0
63,,,,4550.0,
64,,,,4550.0,
65,4549.0,4549.0,4549.0,4549.0,1.0
